Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C2, C20, C23, C24, C4, C6",0402,10,1u,C14445
"C10, C11, C21, C22",0402,4,22p,C1555
"C14, C17, C18, C19, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C8, C9",0402,58,100n,C1525
"C15, C3",0603,2,10u,C85713
"D1, D2",0603,2,LED,C2837377
"D10, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-Mini_PLCC4_3.5x3.5mm,8,WS2812B,C527089
"F1, F2",1206,2,500mA,C2830238
"J1, J3, J4, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,4,USB_C_Receptacle_USB2.0_16P,C165948
"J10, J9",CON_FH33J-12S-0.5SH,2,Conn_01x12,C3169391
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED4, LED5, LED6, LED7, LED8, LED9",LED_choc_6028R,34,choc_SK6812MINI-E,C5149201
"R1, R12, R13, R14, R17, R18, R19, R2, R20, R21, R22, R3, R8, R9",0402,14,5.1k,C25905
"R10, R11, R4, R5",0402,4,27,C25100
"R15, R16, R6, R7",0402,4,1k,C11702
"SW35, SW36, SW37, SW38",SW_SPST_B3U-1000P,4,SW_Push,C231329
"U1, U5",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,C2040
"U10, U9",SOT-563,2,SN74LVC1T45DRL,C352970
"U2, U7",SOT-23-3,2,XC6206PxxxMR,C47719
"U3, U6",SOT-23-6-routable,2,SRV05-4,C558418
"U4, U8",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,C97521
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24,C9002
